time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_p10,wmape_wmean,wmape_p90,n_folds,wmape_mean,wmape_std
,,1,,,,,,,,,,,29.758717887495067,29.758717887495067,29.758717887495067,29.758717887495067,1,29.758717887495067,0.0
,,2,,,,,,,,,,,32.89331319884306,31.91786476303934,33.18484411327061,33.86876163464678,2,32.89331319884306,1.724365509136553
,,3,,,,,,,,,,,34.71411279537525,30.207079551975113,34.41687067428088,39.221146038775395,2,34.71411279537525,7.967384423603601
,,4,,,,,,,,,,,26.172504870494052,25.650758762142274,26.218368487725066,26.69425097884583,2,26.172504870494052,0.9223255281830853
,,5,,,,,,,,,,,24.250415162794972,19.666916379952504,24.44628960423523,28.833913945637438,2,24.250415162794972,8.10255767727049
,,6,,,,,,,,,,,25.44227318787037,23.350955005802316,25.558598610756746,27.533591369938424,2,25.44227318787037,3.6969631703976087
,,7,,,,,,,,,,,16.199667208869002,15.530211292104378,16.189066943781476,16.869123125633624,2,16.199667208869002,1.1834420461243038
,,8,,,,,,,,,,,25.46879608704598,20.499048562855865,26.175887195502547,30.438543611236096,2,25.46879608704598,8.785355437849715
,,9,,,,,,,,,,,24.25282783776917,21.255386586544578,24.84546583912176,27.250269088993765,2,24.25282783776917,5.298777587373002
,,10,,,,,,,,,,,20.080646943494536,18.966943322037974,19.84006266722201,21.194350564951094,2,20.080646943494536,1.9687684574098754
,,11,,,,,,,,,,,29.5332528444181,29.5332528444181,29.5332528444181,29.5332528444181,1,29.5332528444181,0.0
,,12,,,,,,,,,,,27.90598549688171,27.90598549688171,27.90598549688171,27.90598549688171,1,27.90598549688171,0.0
