time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,wmape_p50,wmape_p90,wmape_mean,wmape_std,n_folds,wmape_p10
,,1,,,,,,,,,,,46.87187425687782,46.87187425687782,46.87187425687782,46.87187425687782,0.0,1,46.87187425687782
,,2,,,,,,,,,,,42.34179498759892,44.98143905203864,53.81356129469077,44.98143905203864,15.613133825119652,2,36.149316809386505
,,3,,,,,,,,,,,34.233816193780605,34.138521750145365,35.58345567738977,34.138521750145365,2.5543064458025784,2,32.69358782290096
,,4,,,,,,,,,,,32.8112876924819,33.10783688150713,36.48139079308488,33.10783688150713,5.963657118937562,2,29.734282969929392
,,5,,,,,,,,,,,30.01636976489218,29.956106752865672,31.366272572576076,29.956106752865672,2.4928445342867858,2,28.54594093315527
,,6,,,,,,,,,,,38.469564793111225,38.47971189862412,38.66213828253841,38.47971189862412,0.32248733283284764,2,38.29728551470982
,,7,,,,,,,,,,,26.345108466875384,26.354572523131843,26.952271581142732,26.354572523131843,1.0565926425707757,2,25.75687346512096
,,8,,,,,,,,,,,30.703202947834342,30.12214237271539,34.20609183844293,30.12214237271539,7.219470903097798,2,26.038192906987856
,,9,,,,,,,,,,,30.31501027568619,30.39590740797209,30.805068482466318,30.39590740797209,0.7233014259311031,2,29.986746333477864
,,10,,,,,,,,,,,23.470263315028372,23.74697119948035,25.02789686001964,23.74697119948035,2.264378051907972,2,22.46604553894106
,,11,,,,,,,,,,,34.86543573605642,34.86543573605642,34.86543573605642,34.86543573605642,0.0,1,34.86543573605642
,,12,,,,,,,,,,,33.2852516373771,33.2852516373771,33.2852516373771,33.2852516373771,0.0,1,33.2852516373771
