time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,wmape_wmean,n_folds,wmape_mean,wmape_std,wmape_p90,wmape_p10
,,1,,,,,,,,,,,27.216835485115286,27.216835485115286,1,27.216835485115286,0.0,27.216835485115286,27.216835485115286
,,2,,,,,,,,,,,31.181939625181055,31.181939625181055,1,31.181939625181055,0.0,31.181939625181055,31.181939625181055
,,3,,,,,,,,,,,28.38206496712676,28.38206496712676,1,28.38206496712676,0.0,28.38206496712676,28.38206496712676
,,4,,,,,,,,,,,29.74487179185004,29.74487179185004,1,29.74487179185004,0.0,29.74487179185004,29.74487179185004
,,5,,,,,,,,,,,29.843276899132864,29.843276899132864,1,29.843276899132864,0.0,29.843276899132864,29.843276899132864
,,6,,,,,,,,,,,25.568650285242562,25.568650285242562,1,25.568650285242562,0.0,25.568650285242562,25.568650285242562
,,7,,,,,,,,,,,20.869107805224214,20.869107805224214,1,20.869107805224214,0.0,20.869107805224214,20.869107805224214
,,8,,,,,,,,,,,23.575162929412592,23.575162929412592,1,23.575162929412592,0.0,23.575162929412592,23.575162929412592
,,9,,,,,,,,,,,19.03230394591132,19.03230394591132,1,19.03230394591132,0.0,19.03230394591132,19.03230394591132
,,10,,,,,,,,,,,14.184786352100293,14.184786352100293,1,14.184786352100293,0.0,14.184786352100293,14.184786352100293
,,11,,,,,,,,,,,26.364586265487084,26.364586265487084,1,26.364586265487084,0.0,26.364586265487084,26.364586265487084
,,12,,,,,,,,,,,25.923572436679855,25.923572436679855,1,25.923572436679855,0.0,25.923572436679855,25.923572436679855
