time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_mean,wmape_p10,wmape_std,wmape_p90,wmape_p50,wmape_wmean
,,1,,,,,,,,,,,1,32.3609189754735,32.3609189754735,0.0,32.3609189754735,32.3609189754735,32.3609189754735
,,2,,,,,,,,,,,1,27.34217041935672,27.34217041935672,0.0,27.34217041935672,27.34217041935672,27.342170419356716
,,3,,,,,,,,,,,1,26.92163939478735,26.92163939478735,0.0,26.92163939478735,26.92163939478735,26.92163939478735
,,4,,,,,,,,,,,1,30.853684795452928,30.853684795452928,0.0,30.853684795452928,30.853684795452928,30.853684795452928
,,5,,,,,,,,,,,1,29.922793942254632,29.922793942254632,0.0,29.922793942254632,29.922793942254632,29.922793942254632
,,6,,,,,,,,,,,1,24.85219512717301,24.85219512717301,0.0,24.85219512717301,24.85219512717301,24.85219512717301
,,7,,,,,,,,,,,1,19.15799123211129,19.15799123211129,0.0,19.15799123211129,19.15799123211129,19.15799123211129
,,8,,,,,,,,,,,1,23.694191544789128,23.694191544789128,0.0,23.694191544789128,23.694191544789128,23.694191544789128
,,9,,,,,,,,,,,1,20.665792870248694,20.665792870248694,0.0,20.665792870248694,20.665792870248694,20.665792870248694
,,10,,,,,,,,,,,1,14.710057047065783,14.710057047065783,0.0,14.710057047065783,14.710057047065783,14.710057047065781
,,11,,,,,,,,,,,1,26.752584383208465,26.752584383208465,0.0,26.752584383208465,26.752584383208465,26.752584383208465
,,12,,,,,,,,,,,1,25.414015393039435,25.414015393039435,0.0,25.414015393039435,25.414015393039435,25.41401539303943
